date,entry,gap,bias,confidence,regime,strategy,pnl,capital
2024-11-11,24141.30078125,0,NEUTRAL,0.0,1,IRON CONDOR,-10300.0,-1004940.0
2024-11-12,23983.44921875,100,NEUTRAL,20.0,1,IRON CONDOR,-10435.0,-1015375.0
2024-11-13,23559.05078125,0,NEUTRAL,20.0,1,IRON CONDOR,-10570.0,-1025945.0
2024-11-14,23532.69921875,0,BEARISH,35.0,1,BEAR CALL SPREAD,-10435.0,-1036380.0
2024-11-18,23453.80078125,0,BEARISH,35.0,1,BEAR CALL SPREAD,-10570.0,-1046950.0
2024-11-19,23518.5,0,NEUTRAL,20.0,1,IRON CONDOR,-10705.000000000002,-1057655.0
2024-11-21,23299.900390625,-50,NEUTRAL,5.0,1,IRON CONDOR,-10840.0,-1068495.0
2024-11-22,23907.25,0,NEUTRAL,10.0,0,IRON CONDOR,-10840.0,-1079335.0
2024-11-25,24371.900390625,150,BULLISH,43.0,0,BULL PUT SPREAD,-10570.0,-1089905.0
2024-11-26,24044.5,-150,NEUTRAL,8.0,0,IRON CONDOR,-10570.0,-1100475.0
2024-11-27,24274.900390625,0,NEUTRAL,10.0,0,IRON CONDOR,-10435.0,-1110910.0
2024-11-28,23914.150390625,0,NEUTRAL,10.0,0,IRON CONDOR,-10570.0,-1121480.0
2024-11-29,24031.099609375,-100,NEUTRAL,25.0,0,IRON CONDOR,-10300.0,-1131780.0
2024-12-02,24276.05078125,0,NEUTRAL,10.0,0,IRON CONDOR,-10435.0,-1142215.0
2024-12-03,24457.150390625,0,NEUTRAL,10.0,0,IRON CONDOR,-10300.0,-1152515.0
2024-12-04,24467.44921875,0,NEUTRAL,25.0,0,IRON CONDOR,-10300.0,-1162815.0
2024-12-05,24708.400390625,0,NEUTRAL,20.0,0,IRON CONDOR,5660.0,-1157155.0
2024-12-06,24827.80078125,150,BULLISH,43.0,0,BULL PUT SPREAD,-10300.0,-1167455.0
2024-12-09,24619.0,0,NEUTRAL,5.0,0,IRON CONDOR,-10300.0,-1177755.0
2024-12-10,24510.05078125,-100,NEUTRAL,10.0,0,IRON CONDOR,5585.0,-1172170.0
2024-12-11,24641.80078125,0,NEUTRAL,25.0,0,IRON CONDOR,-10030.000000000002,-1182200.0
2024-12-12,24548.69921875,0,NEUTRAL,5.0,0,IRON CONDOR,-10030.000000000002,-1192230.0
2024-12-13,24768.30078125,0,NEUTRAL,20.0,0,IRON CONDOR,-9895.0,-1202125.0
2024-12-16,24568.25,-100,NEUTRAL,10.0,0,IRON CONDOR,-10165.0,-1212290.0
2024-12-17,24286.0,-50,NEUTRAL,10.0,0,IRON CONDOR,-10300.0,-1222590.0
2024-12-18,24198.849609375,0,NEUTRAL,5.0,0,IRON CONDOR,-10300.0,-1232890.0
